,tweet,politican,Party,State
0,I encourage Alaskans to read this piece from Alaska’s Chief Medical Officer @annezinkmd on the importance of gettin… https://t.co/PxHIJj4qf4,Lisa Murkowski ,R,AK 
1,I was proud to support @SenPatRoberts’s efforts through our work together on the U.S. Senate Appropriations Committ… https://t.co/520tq852IA,Lisa Murkowski ,R,AK 
2,Honored to attend the Dwight E. Eisenhower Memorial Dedication Ceremony in Washington D.C. This four-acre park memo… https://t.co/GJliuZwQu0,Lisa Murkowski ,R,AK 
3,Encouraged by this significant contribution to @ANHC and other organizations that will help Alaska Native &amp; other i… https://t.co/FtgZxLw524,Lisa Murkowski ,R,AK 
4,"SDPI has led to significant advances in diabetes education, prevention, and treatment. I’m glad this bill to provid… https://t.co/41puFBcWwZ",Lisa Murkowski ,R,AK 
5,I’m a proud cosponsor of @SenMcSallyAZ’s bill that will reauthorize the Special Diabetes Program for Indians (SDPI)… https://t.co/1IAkVTRcv7,Lisa Murkowski ,R,AK 
6,G’mar Chatima Tovah and have a safe and meaningful fast to all those observing #YomKippur. On this day of atonement… https://t.co/o6dRSIXMG0,Lisa Murkowski ,R,AK 
7,My statement after President Trump nominated U.S. Circuit Judge Amy Coney Barrett to the United States Supreme Cour… https://t.co/QVGVonyQKO,Lisa Murkowski ,R,AK 
8,"This year, more Americans have grown to appreciate the outdoors, as well as the work that goes into maintaining out… https://t.co/xuBrcClnq7",Lisa Murkowski ,R,AK 
9,"Today is #NationalPublicLandsDay, which means free entry into national parks and a chance to celebrate our nation’s… https://t.co/i7HFPip47c",Lisa Murkowski ,R,AK 
10,"My bipartisan bill w/ @SenBrianSchatz, the 2020 Census Deadline Extensions Act, is still important to provide certa… https://t.co/TaAfBWxsSi",Lisa Murkowski ,R,AK 
11,"The reality, though, is that this court ruling may face an appeal, continuing the uncertainty for @uscensusbureau o… https://t.co/xRMeexuKLO",Lisa Murkowski ,R,AK 
12,I applaud U.S. District Court for the Northern District of California Judge Koh’s decision to extend the… https://t.co/fDQzYwl4F5,Lisa Murkowski ,R,AK 
13,My statement w/ @SenDanSullivan &amp; @repdonyoung on the court ruling determining Alaska Native Corporations (ANCs) ar… https://t.co/Hv7fkIwisy,Lisa Murkowski ,R,AK 
