,tweet,politican,Party,State
0,Congrats to Petersburg Medical Center CEO Phil Hofstetter for receiving the honor of being this year’s Grassroots C… https://t.co/BuGqAXJENg,Lisa Murkowski ,R,AK 
1,The changes made by this legislation will go a long way in improving the quality and accuracy of Tribal health care… https://t.co/nYt8ngvaDz,Lisa Murkowski ,R,AK 
2,"I’m proud to introduce the Tribal Health Data Improvement Act alongside @SenTinaSmith, which will help Tribes acces… https://t.co/9cW89xc9C9",Lisa Murkowski ,R,AK 
3,"American Indian &amp; Alaska Native communities face stark health disparities. In addition to these inequities, high ra… https://t.co/GVymLnhGnr",Lisa Murkowski ,R,AK 
4,"Congrats to Alaskans Eddy Falcon Jr. and Tafilisaunoa Toleafoa, as well as all the recent graduates of the Human Tr… https://t.co/dXdgjlz6Kq",Lisa Murkowski ,R,AK 
5,.@ACFHHS 's Human Trafficking Leadership Academy is a national leader in providing services &amp; advocacy for traffick… https://t.co/Ekavx14pgV,Lisa Murkowski ,R,AK 
6,"As we remember being attacked from abroad on #September11, it is my hope that we can use that memory to unify here at home today. God Bless.",Lisa Murkowski ,R,AK 
7,The outpouring of support we showed for each other in the days and months that followed September 11 reminds us tha… https://t.co/T1eqfbArzH,Lisa Murkowski ,R,AK 
8,"But as we reflect on what was lost on #September11, we must also remember what we found—the unity that we felt when… https://t.co/Csu1GJ9VQH",Lisa Murkowski ,R,AK 
9,"On #September11, 2001, America fell victim to unprovoked terrorist attacks which took the lives of nearly 3,000 Ame… https://t.co/2iAhAZAVHq",Lisa Murkowski ,R,AK 
10,".@FEMA approved an additional $44.8 million in grants for #Alaska under the Lost Wages Assistance program, which pr… https://t.co/H8hOfPS3Vj",Lisa Murkowski ,R,AK 
11,"While the bill was not perfect and had room to improve, it was responsive to the needs that I’ve been hearing from… https://t.co/KIbOGoAzeS",Lisa Murkowski ,R,AK 
12,We must work to support those who are suffering most from the impacts of the pandemic. I’m talking to folks back ho… https://t.co/QMqfDhhUky,Lisa Murkowski ,R,AK 
13,I spoke on the Senate floor to explain why I voted to advance this targeted relief pkg that included many pivotal p… https://t.co/rpF8ONzi8E,Lisa Murkowski ,R,AK 
14,"That's why I voted to advance a targeted #COVID19 Relief bill package, focused on addressing some of America’s most… https://t.co/UB4EcBnGTJ",Lisa Murkowski ,R,AK 
15,It’s so important that we work to provide necessary relief to Americans in order to address the continued impacts o… https://t.co/SDKdg9L0ID,Lisa Murkowski ,R,AK 
16,"I am especially grateful to my colleague, @SenDanSullivan, for his relentless efforts to educate the administration… https://t.co/TQ4j8zLMW1",Lisa Murkowski ,R,AK 
17,I’m pleased the administration has recognized the importance of a healthy seafood industry to Alaska’s economy by a… https://t.co/7lIKGdR81F,Lisa Murkowski ,R,AK 
18,Alaska’s seafood industry is facing numerous challenges because of the ongoing trade dispute and #COVID19. While I’… https://t.co/7yqTBRrJJj,Lisa Murkowski ,R,AK 
19,My hope is that the Senate will have an opportunity to advance this and move to get necessary relief to Americans.,Lisa Murkowski ,R,AK 
20,"While the measure is not perfect, there is important support in the bill for things like the PPP (vital to small bu… https://t.co/EQtxFCHk6O",Lisa Murkowski ,R,AK 
21,"It’s so important that we work to address the continued impacts of the #COVID19 pandemic on businesses, employees,… https://t.co/GV9gUUbvjq",Lisa Murkowski ,R,AK 
22,The importance of providing access to transitional housing assistance &amp; wraparound services for victims of domestic… https://t.co/8n9ONTK355,Lisa Murkowski ,R,AK 
23,I applaud the DOJ's @OVWJustice for providing critical funding for the Transitional Housing Assistance Program to t… https://t.co/UCv0nXhzKg,Lisa Murkowski ,R,AK 
24,U.S. @Surgeon_General Adams added that there should be an effort to ramp up local support for the vaccine through t… https://t.co/nZ9kpCHIlH,Lisa Murkowski ,R,AK 
25,"In regards to vaccine transparency, witness @NIHDirector Dr. Collins explained that he was aware and sympathetic wi… https://t.co/ZCJHK5cM3f",Lisa Murkowski ,R,AK 
26,"I spoke on the SAVE Act, my legislative effort with @SenatorBraun &amp; @SenatorHassan, which aims to improve public co… https://t.co/eFetrxxGox",Lisa Murkowski ,R,AK 
27,"During the hearing I shared my concern over low vaccination rates in Alaska, the safety of the Alaska Native popula… https://t.co/0bobAFzUer",Lisa Murkowski ,R,AK 
28,"In light of ongoing efforts to develop a safe and effective vaccine for #COVID19, I took part in a Senate HELP Comm… https://t.co/j9LvaQZ1Yh",Lisa Murkowski ,R,AK 
29,That’s why I joined my Senate colleagues cosponsoring the bipartisan Local News and Emergency Information Act of 20… https://t.co/MUPTF19jiW,Lisa Murkowski ,R,AK 
30,"Alaskans rely heavily on local radio stations for their news, but unfortunately, many are struggling to overcome th… https://t.co/7pLJ0BZbc5",Lisa Murkowski ,R,AK 
31,A big thank you to all the brave firefighters who continue to serve  and provide a helping hand on behalf of Alaska… https://t.co/NudNkS2GXY,Lisa Murkowski ,R,AK 
32,"A great opportunity for undergrads in #Alaska: @NOAA is supporting scholarships of up to $9,500 per year for two ye… https://t.co/p5SDmvM8WF",Lisa Murkowski ,R,AK 
33,This is great news for Alaska’s aviation industry. The @FAANews is also investing in the future of aviation workfor… https://t.co/uMv4FLmVPs,Lisa Murkowski ,R,AK 
34,"During fall, everybody has their own traditions. In my family—it’s our annual fall hunt in the Interior and harvest… https://t.co/RcVJFnsGcE",Lisa Murkowski ,R,AK 
35,Had a wonderful time on our annual fall duck hunting trip in the Interior. Great to continue this family tradition… https://t.co/WwSGqye03r,Lisa Murkowski ,R,AK 
36,"Happy #LaborDay Alaskans. Today is a day to get outside, enjoy the end of summer, and pay tribute to hard-working A… https://t.co/PYfHC3vAEI",Lisa Murkowski ,R,AK 
37,Crazy beautiful sunset this weekend at Pt. Woronzof. #Alaska https://t.co/FKJoGI3cXS,Lisa Murkowski ,R,AK 
38,I urge every American to take some time to support one another as we continue to address #COVID19. Take a moment to… https://t.co/jMyVMBrvsB,Lisa Murkowski ,R,AK 
39,The unfortunate truth is Alaska consistently tops the charts with some of the highest suicide rates in the country.… https://t.co/NPfUtTJyjV,Lisa Murkowski ,R,AK 
40,"Even as we move towards renewables, global demand for fossil fuels is expected to continue. So how can we best mana… https://t.co/MJkdozSRe5",Lisa Murkowski ,R,AK 
41,"I visited w/ Alaskans in different ways, whether it was utilizing virtual communication or meeting outside (which I… https://t.co/nyjkGoc7Oy",Lisa Murkowski ,R,AK 
42,"August this year was a bit different than years past. Typically I'm back in Alaska, traveling for work all over the… https://t.co/Oqf7mmvpNE",Lisa Murkowski ,R,AK 
43,"In conjunction with #NationalRecoveryMonth, Governor Dunleavy released a proclamation naming September… https://t.co/V9xendwWp7",Lisa Murkowski ,R,AK 
44,Over the past few years Alaska has made progress in providing greater resources for individuals and families facing… https://t.co/1Ez8DrFj4Z,Lisa Murkowski ,R,AK 
45,"The aviation industry has been hit hard by the economic impacts of the #COVID19 pandemic, which has only emphasized… https://t.co/DDpSWmDFuY",Lisa Murkowski ,R,AK 
46,"Over 80% of communities in Alaska are not connected to a road system, making aviation essential. I’m proud to join… https://t.co/nMkQkivnWU",Lisa Murkowski ,R,AK 
47,"Pat shared how @UA_System is diligently working to keep students, faculty, &amp; staff safe as classes restart. The Uni… https://t.co/eAJfWvbeju",Lisa Murkowski ,R,AK 
48,I had an opportunity to provide Pat with an update about Congressional efforts to support higher learning through t… https://t.co/rBMY5zWguy,Lisa Murkowski ,R,AK 
49,"I recently sat down with interim @UA_System President, Pat Pitney. Pat shared with me her vision for UA, and her co… https://t.co/Dt8YE2d3eX",Lisa Murkowski ,R,AK 
50,"I thank all of our frontline and essential workers at airports, hospitals, schools, grocery stores, and more – for… https://t.co/NHHiWWY36o",Lisa Murkowski ,R,AK 
51,The State of Alaska continues to require #COVID19 screening &amp; testing for those visiting the state. Last week I spo… https://t.co/08aLit51xo,Lisa Murkowski ,R,AK 
52,Our Alaska Census response numbers are low so please help us ensure the @uscensusbureau has a full and accurate… https://t.co/pozgikzDjQ,Lisa Murkowski ,R,AK 
53,The Alaska Delegation cannot stress enough the importance of participating in the #2020Census. What takes just ten… https://t.co/iC7OTOnwuz,Lisa Murkowski ,R,AK 
54,I appreciate these Alaskans for taking the time to meet with me. These are important conversations to have – they w… https://t.co/JTQvkaQJUL,Lisa Murkowski ,R,AK 
55,"Last week in Fairbanks, I sat down with @ExplorFairbanks and members of the local tourism industry to hear about th… https://t.co/SGLQPOJM09",Lisa Murkowski ,R,AK 
56,"Right now, @CCHRC_Alaska is designing and building homes that use 80% less energy than comparable homes currently b… https://t.co/hGce3BQLT3",Lisa Murkowski ,R,AK 
57,"I had the opportunity to visit @CCHRC_Alaska in Fairbanks, which is at the forefront of improving energy efficiency… https://t.co/fcGJaci6Fb",Lisa Murkowski ,R,AK 
